2022-09-26 17:43:10.929 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:43:10.929 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:43:13.585 [main] INFO  com.generics.App - Max Number is not present at Position 2! 3
2022-09-26 17:43:13.585 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:43:13.586 [main] INFO  com.generics.App - Give 3 inputs of strings:
2022-09-26 17:43:17.757 [main] INFO  com.generics.App - Max String is not present at Position 2! adsf
2022-09-26 17:43:17.758 [main] INFO  com.generics.App - Max is not present at Position 2! adsf
2022-09-26 17:44:33.067 [main] INFO  com.generics.App - Hello to Genrics Program!
2022-09-26 17:44:33.072 [main] INFO  com.generics.App - Give 3 inputs of integer:
2022-09-26 17:44:34.785 [main] INFO  com.generics.App - Max Number is not present at Position 2! 3
2022-09-26 17:44:34.785 [main] INFO  com.generics.App - Max is not present at Position 2! 0
2022-09-26 17:44:34.786 [main] INFO  com.generics.App - Give 3 inputs of strings:
2022-09-26 17:44:41.318 [main] INFO  com.generics.App - Max String is not present at Position 2! asdd
2022-09-26 17:44:41.318 [main] INFO  com.generics.App - Max is not present at Position 2! asdd
